gold_speaker	gold_word	whisper_speaker	whisper_word
PKP125	è	[SPEAKER_B]	e'
PKP125	vero	[SPEAKER_B]	bello
PKP125	eh	[SPEAKER_B]	ah
PKP125	ua	[SPEAKER_B]	bello
PKP125	però	[SPEAKER_B]	come
PKP125	erano	-	-
PKP125	avevano	-	-
PKP125	cosicchie	-	-
PKP131	xx	-	-
PKP125	mhmh	-	-
PKP125	co~	-	-
PKP125	comunque	[SPEAKER_B]	comunque
PKP125	oggi	[SPEAKER_B]	oggi
PKP125	a	[SPEAKER_B]	ho
PKP125	scuola	[SPEAKER_B]	scuola
PKP125	la	[SPEAKER_B]	la
PKP125	gente	[SPEAKER_B]	gente
PKP131	comunque	[SPEAKER_A]	che
-	-	[SPEAKER_A]	bene
-	-	[SPEAKER_A]	come
-	-	[SPEAKER_A]	buona
PKP125	a	[SPEAKER_B]	a
PKP125	scuola	[SPEAKER_B]	scuola
PKP125	questi	[SPEAKER_B]	questi
PKP125	mi	[SPEAKER_B]	mi
PKP125	chiedevano	[SPEAKER_B]	chiedeva
PKP125	delle	[SPEAKER_B]	delle
PKP125	cose	[SPEAKER_B]	cose
PKP125	facevo	[SPEAKER_B]	come
PKP125	como	[SPEAKER_B]	cosa
PKP125	capito	[SPEAKER_A]	karine
PKP131	ua	[SPEAKER_B]	carina
PKP125	che	[SPEAKER_A]	è
PKP125	xx	[SPEAKER_A]	che
PKP131	perché	[SPEAKER_A]	sai
PKP131	stai	-	-
PKP131	qual	[SPEAKER_A]	qual
PKP131	è	[SPEAKER_A]	è
PKP131	il	[SPEAKER_A]	il
PKP131	range	[SPEAKER_A]	range
PKP131	di	[SPEAKER_A]	di
PKP131	età	[SPEAKER_A]	età
PKP131	a	[SPEAKER_A]	che
PKP131	cui	-	-
PKP131	stai	[SPEAKER_A]	stai
PKP131	insegnando	[SPEAKER_A]	insegnando
PKP125	xx	[SPEAKER_B]	c'è
PKP125	non	[SPEAKER_B]	una
PKP125	lo	[SPEAKER_B]	canzone
PKP125	sacc	[SPEAKER_B]	che
PKP125	io	[SPEAKER_B]	fa
PKP125	faccio	[SPEAKER_B]	e
PKP125	finta	[SPEAKER_B]	prende
PKP125	di	-	-
PKP125	mh	-	-
PKP125	al	[SPEAKER_B]	al
PKP125	momento	[SPEAKER_B]	momento
PKP125	dai	[SPEAKER_B]	dai
PKP125	sto	[SPEAKER_B]	condivisionenza
PKP125	facendo	-	-
PKP125	dai	[SPEAKER_B]	dai
PKP125	a	[SPEAKER_B]	a
PKP125	quanto	[SPEAKER_B]	quanto
PKP125	pare	[SPEAKER_B]	pare
PKP125	domani	[SPEAKER_B]	domani
PKP125	dovrò	[SPEAKER_B]	dovreò
PKP125	fare	[SPEAKER_B]	fare
PKP125	anche	[SPEAKER_B]	anche
PKP125	i	[SPEAKER_B]	i
PKP125	bambini	[SPEAKER_B]	bambini
PKP125	piccoli	[SPEAKER_B]	piccoli
PKP131	piccoli	[SPEAKER_B]	piccoli
PKP131	quanto	[SPEAKER_B]	quanto
PKP125	eh	[SPEAKER_B]	prestart
PKP125	pre-starters	-	-
PKP125	quindi	[SPEAKER_B]	quindi
PKP125	sei	[SPEAKER_B]	sei
PKP125	sette	[SPEAKER_B]	sette
PKP125	anni	[SPEAKER_B]	anni
-	-	[SPEAKER_A]	qui
-	-	[SPEAKER_A]	tutti
-	-	[SPEAKER_A]	quanti
PKP125	comunque	[SPEAKER_B]	comunque
PKP125	dagli	[SPEAKER_B]	dagli
PKP125	otto	[SPEAKER_B]	otto
PKP125	ai	[SPEAKER_B]	ai
PKP125	mh	-	-
PKP125	diciotto	[SPEAKER_B]	diciotto
PKP125	che	[SPEAKER_B]	e
PKP125	poi	[SPEAKER_B]	poi
PKP125	questi	[SPEAKER_B]	questi
PKP125	bambini	[SPEAKER_B]	bambini
PKP125	pi~	-	-
PKP125	bambini	-	-
PKP125	piccoli	[SPEAKER_B]	piccoli
PKP125	cioè	[SPEAKER_B]	cioè
PKP125	mo	[SPEAKER_B]	ma
PKP125	quando	-	-
PKP125	li	-	-
PKP125	avevo	-	-
PKP125	quando	[SPEAKER_B]	quando
PKP125	avevo	[SPEAKER_B]	avevo
PKP125	iniziato	[SPEAKER_B]	iniziato
PKP125	prima	[SPEAKER_B]	prima
PKP125	che	[SPEAKER_B]	che
PKP125	me	[SPEAKER_B]	me
PKP125	ne	[SPEAKER_B]	ne
PKP125	andavo	[SPEAKER_B]	andavo
PKP125	a	[SPEAKER_B]	a
PKP125	bologna	[SPEAKER_B]	bologna
PKP131	mhmh	-	-
PKP125	comunque	[SPEAKER_B]	comunque
PKP125	tanti	[SPEAKER_B]	tanti
PKP125	sono	[SPEAKER_B]	sono
PKP125	rimasti	[SPEAKER_B]	rimasti
PKP125	perché	[SPEAKER_A]	mmhmm
PKP125	poi	-	-
PKP125	e	[SPEAKER_B]	e
PKP125	sono	[SPEAKER_B]	sono
