gold_speaker	gold_word	whisper_speaker	whisper_word
PKP125	è	[SPEAKER_B]	è
PKP125	vero	[SPEAKER_B]	vero
PKP125	eh	[SPEAKER_B]	o
PKP125	ua	[SPEAKER_B]	è
PKP125	però	[SPEAKER_B]	vero
PKP125	erano	[SPEAKER_B]	abbiamo
PKP125	avevano	[SPEAKER_B]	un
PKP125	cosicchie	[SPEAKER_B]	colicchio
PKP131	xx	[SPEAKER_B]	con
PKP125	mhmh	[SPEAKER_B]	come
PKP125	co~	-	-
PKP125	comunque	-	-
PKP125	oggi	[SPEAKER_B]	oggi
PKP125	a	[SPEAKER_B]	a
PKP125	scuola	[SPEAKER_B]	scuola
PKP125	la	[SPEAKER_B]	la
PKP125	gente	[SPEAKER_B]	gente
PKP131	comunque	[SPEAKER_A]	è
PKP125	a	[SPEAKER_A]	meraviglio
-	-	[SPEAKER_A]	buon
-	-	[SPEAKER_B]	e
PKP125	scuola	[SPEAKER_B]	scuola
PKP125	questi	[SPEAKER_B]	questi
PKP125	mi	[SPEAKER_B]	migliori
PKP125	chiedevano	[SPEAKER_B]	dei
PKP125	delle	[SPEAKER_B]	negozi
PKP125	cose	[SPEAKER_B]	ho
PKP125	facevo	[SPEAKER_B]	come
PKP125	como	[SPEAKER_A]	è
PKP125	capito	[SPEAKER_A]	bello
PKP131	ua	[SPEAKER_B]	è
PKP125	che	[SPEAKER_B]	bello
PKP125	xx	[SPEAKER_A]	e
PKP131	perché	[SPEAKER_A]	che
PKP131	stai	[SPEAKER_A]	sei
PKP131	qual	[SPEAKER_A]	qual
PKP131	è	[SPEAKER_A]	è
PKP131	il	[SPEAKER_A]	il
PKP131	range	[SPEAKER_A]	rengio
PKP131	di	[SPEAKER_A]	di
PKP131	età	[SPEAKER_A]	età
PKP131	a	[SPEAKER_A]	che
PKP131	cui	-	-
PKP131	stai	[SPEAKER_A]	stai
PKP131	insegnando	[SPEAKER_A]	insegnando
PKP125	xx	[SPEAKER_B]	non
PKP125	non	[SPEAKER_B]	è
PKP125	lo	[SPEAKER_B]	che
PKP125	sacc	[SPEAKER_B]	non
PKP125	io	[SPEAKER_B]	è
PKP125	faccio	[SPEAKER_B]	che
PKP125	finta	[SPEAKER_B]	si
PKP125	di	[SPEAKER_B]	fa
PKP125	mh	[SPEAKER_B]	non
PKP125	al	[SPEAKER_B]	è
-	-	[SPEAKER_B]	che
-	-	[SPEAKER_B]	si
-	-	[SPEAKER_B]	fa
-	-	[SPEAKER_B]	non
-	-	[SPEAKER_B]	è
-	-	[SPEAKER_B]	che
-	-	[SPEAKER_B]	si
-	-	[SPEAKER_B]	fa
-	-	[SPEAKER_B]	non
-	-	[SPEAKER_B]	è
-	-	[SPEAKER_B]	che
-	-	[SPEAKER_B]	si
-	-	[SPEAKER_B]	fa
-	-	[SPEAKER_B]	non
-	-	[SPEAKER_B]	è
-	-	[SPEAKER_B]	che
-	-	[SPEAKER_B]	si
-	-	[SPEAKER_B]	fa
-	-	[SPEAKER_B]	non
-	-	[SPEAKER_B]	è
-	-	[SPEAKER_B]	che
-	-	[SPEAKER_B]	si
-	-	[SPEAKER_B]	fa
-	-	[SPEAKER_B]	non
-	-	[SPEAKER_B]	è
-	-	[SPEAKER_B]	che
-	-	[SPEAKER_B]	si
-	-	[SPEAKER_B]	fa
-	-	[SPEAKER_B]	non
-	-	[SPEAKER_B]	è
-	-	[SPEAKER_B]	che
-	-	[SPEAKER_B]	si
-	-	[SPEAKER_B]	fa
-	-	[SPEAKER_B]	non
-	-	[SPEAKER_B]	è
-	-	[SPEAKER_B]	che
-	-	[SPEAKER_B]	si
-	-	[SPEAKER_B]	fa
-	-	[SPEAKER_B]	non
-	-	[SPEAKER_B]	è
-	-	[SPEAKER_B]	che
-	-	[SPEAKER_B]	si
