gold_speaker	gold_word	whisper_speaker	whisper_word
PKP125	è	[SPEAKER_A]	vabbè
PKP125	vero	[SPEAKER_A]	vabbè
PKP125	eh	[SPEAKER_A]	vabbè
PKP125	ua	[SPEAKER_A]	buon
PKP125	però	[SPEAKER_A]	appetito
PKP125	erano	[SPEAKER_A]	mmhmm
PKP125	avevano	[SPEAKER_B]	è
PKP125	cosicchie	[SPEAKER_B]	bello
PKP131	xx	[SPEAKER_B]	si
PKP125	mhmh	[SPEAKER_B]	che
PKP125	co~	[SPEAKER_B]	è
PKP125	comunque	[SPEAKER_B]	la
PKP125	oggi	[SPEAKER_B]	macchina
PKP125	a	[SPEAKER_A]	e
PKP125	scuola	[SPEAKER_A]	che
PKP125	la	[SPEAKER_A]	sei
PKP125	gente	-	-
PKP131	comunque	-	-
PKP125	a	-	-
PKP125	scuola	-	-
PKP125	questi	-	-
PKP125	mi	-	-
PKP125	chiedevano	-	-
PKP125	delle	-	-
PKP125	cose	-	-
PKP125	facevo	-	-
PKP125	como	-	-
PKP125	capito	-	-
PKP131	ua	-	-
PKP125	che	-	-
PKP125	xx	-	-
PKP131	perché	-	-
PKP131	stai	-	-
PKP131	qual	[SPEAKER_A]	qual
PKP131	è	[SPEAKER_A]	è
PKP131	il	[SPEAKER_A]	il
PKP131	range	[SPEAKER_A]	reingi
PKP131	di	[SPEAKER_A]	di
PKP131	età	[SPEAKER_A]	età
PKP131	a	[SPEAKER_A]	che
PKP131	cui	-	-
PKP131	stai	[SPEAKER_A]	stai
PKP131	insegnando	[SPEAKER_A]	insegnando
PKP125	xx	[SPEAKER_B]	e'
PKP125	non	[SPEAKER_B]	una
PKP125	lo	[SPEAKER_B]	cosa
PKP125	sacc	[SPEAKER_B]	di
PKP125	io	[SPEAKER_B]	qualsiasi
PKP125	faccio	[SPEAKER_B]	e'
PKP125	finta	[SPEAKER_B]	una
PKP125	di	[SPEAKER_B]	cosa
PKP125	mh	[SPEAKER_B]	di
PKP125	al	[SPEAKER_B]	qualsiasi
-	-	[SPEAKER_B]	il
PKP125	momento	[SPEAKER_B]	momento
PKP125	dai	[SPEAKER_B]	è
PKP125	sto	[SPEAKER_B]	da
-	-	[SPEAKER_B]	io
-	-	[SPEAKER_B]	ti
PKP125	facendo	[SPEAKER_B]	facendo
PKP125	dai	[SPEAKER_B]	da
-	-	[SPEAKER_B]	io
PKP125	a	[SPEAKER_B]	a
PKP125	quanto	[SPEAKER_B]	quanto
PKP125	pare	[SPEAKER_B]	pare
PKP125	domani	[SPEAKER_B]	domani
PKP125	dovrò	[SPEAKER_B]	dovrò
PKP125	fare	[SPEAKER_B]	fare
PKP125	anche	[SPEAKER_B]	anche
PKP125	i	[SPEAKER_B]	i
PKP125	bambini	[SPEAKER_B]	bambini
PKP125	piccoli	[SPEAKER_B]	piccoli
PKP131	piccoli	[SPEAKER_B]	niccoli
PKP131	quanto	[SPEAKER_B]	buon
PKP125	eh	[SPEAKER_B]	prima
PKP125	pre-starters	[SPEAKER_B]	stavtersi
PKP125	quindi	[SPEAKER_B]	quindi
PKP125	sei	[SPEAKER_B]	sei
PKP125	sette	[SPEAKER_B]	sei
PKP125	anni	[SPEAKER_B]	tanni
-	-	[SPEAKER_A]	grazie
-	-	[SPEAKER_A]	a
-	-	[SPEAKER_A]	tutti
PKP125	comunque	[SPEAKER_B]	comunque
PKP125	dagli	[SPEAKER_B]	da
PKP125	otto	[SPEAKER_B]	otto
PKP125	ai	[SPEAKER_B]	ai
PKP125	mh	-	-
PKP125	diciotto	[SPEAKER_B]	diciotto
PKP125	che	[SPEAKER_B]	che
PKP125	poi	[SPEAKER_B]	pochi
PKP125	questi	-	-
PKP125	bambini	-	-
PKP125	pi~	-	-
PKP125	bambini	[SPEAKER_B]	bambini
PKP125	piccoli	[SPEAKER_B]	piccoli
PKP125	cioè	[SPEAKER_B]	cioè
PKP125	mo	-	-
PKP125	quando	[SPEAKER_B]	quando
PKP125	li	[SPEAKER_B]	l'avevo
PKP125	avevo	-	-
PKP125	quando	-	-
PKP125	avevo	-	-
PKP125	iniziato	[SPEAKER_B]	iniziato
PKP125	prima	[SPEAKER_B]	prima
PKP125	che	[SPEAKER_B]	che
PKP125	me	[SPEAKER_B]	mi
PKP125	ne	[SPEAKER_B]	andava
PKP125	andavo	[SPEAKER_B]	a
PKP125	a	[SPEAKER_B]	borogna
