gold_speaker	gold_word	whisper_speaker	whisper_word
PKP125	è	[SPEAKER_B]	è
PKP125	vero	[SPEAKER_B]	bello
PKP125	eh	[SPEAKER_B]	o
PKP125	ua	[SPEAKER_B]	a
PKP125	però	[SPEAKER_B]	brano
PKP125	erano	[SPEAKER_B]	come
PKP125	avevano	[SPEAKER_B]	come
PKP125	cosicchie	[SPEAKER_B]	come
PKP131	xx	[SPEAKER_B]	che
PKP125	mhmh	-	-
PKP125	co~	-	-
PKP125	comunque	-	-
PKP125	oggi	[SPEAKER_B]	oggi
PKP125	a	[SPEAKER_B]	a
PKP125	scuola	[SPEAKER_B]	scuola
PKP125	la	[SPEAKER_B]	la
PKP125	gente	[SPEAKER_B]	gente
PKP131	comunque	[SPEAKER_A]	e
-	-	[SPEAKER_A]	me
-	-	[SPEAKER_A]	come
-	-	[SPEAKER_A]	buona
PKP125	a	[SPEAKER_B]	a
PKP125	scuola	[SPEAKER_B]	scuola
PKP125	questi	[SPEAKER_B]	questi
PKP125	mi	[SPEAKER_B]	mi
PKP125	chiedevano	[SPEAKER_B]	chiedevano
PKP125	delle	[SPEAKER_B]	delle
PKP125	cose	[SPEAKER_B]	cose
PKP125	facevo	[SPEAKER_B]	ma
PKP125	como	[SPEAKER_B]	ci
PKP125	capito	[SPEAKER_B]	ho
PKP131	ua	[SPEAKER_B]	come
PKP125	che	[SPEAKER_A]	si
PKP125	xx	[SPEAKER_A]	si
PKP131	perché	[SPEAKER_A]	si
PKP131	stai	[SPEAKER_B]	c'è
-	-	[SPEAKER_B]	che
-	-	[SPEAKER_B]	wow
-	-	[SPEAKER_B]	che
-	-	[SPEAKER_B]	c'è
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_B]	sì
-	-	[SPEAKER_A]	e
-	-	[SPEAKER_A]	che
-	-	[SPEAKER_A]	sai
PKP131	qual	[SPEAKER_A]	qual
PKP131	è	[SPEAKER_A]	è
PKP131	il	[SPEAKER_A]	il
PKP131	range	[SPEAKER_A]	range
PKP131	di	[SPEAKER_A]	di
PKP131	età	[SPEAKER_A]	età
PKP131	a	[SPEAKER_A]	che
PKP131	cui	[SPEAKER_A]	tu
PKP131	stai	[SPEAKER_A]	stai
PKP131	insegnando	[SPEAKER_A]	insegnando
PKP125	xx	-	-
PKP125	non	-	-
PKP125	lo	-	-
PKP125	sacc	-	-
PKP125	io	-	-
PKP125	faccio	-	-
