gold_speaker	gold_word	whisper_speaker	whisper_word
PKP125	è	[SPEAKER_B]	e'
PKP125	vero	[SPEAKER_B]	bello
PKP125	eh	[SPEAKER_B]	è
PKP125	ua	[SPEAKER_B]	buono
PKP125	però	[SPEAKER_B]	come
PKP125	erano	[SPEAKER_B]	come
PKP125	avevano	[SPEAKER_B]	che
PKP125	cosicchie	-	-
PKP131	xx	-	-
PKP125	mhmh	-	-
PKP125	co~	-	-
PKP125	comunque	-	-
PKP125	oggi	[SPEAKER_B]	oggi
PKP125	a	[SPEAKER_B]	è
PKP125	scuola	[SPEAKER_B]	scura
PKP125	la	[SPEAKER_B]	la
PKP125	gente	[SPEAKER_B]	gente
-	-	[SPEAKER_A]	è
-	-	[SPEAKER_A]	vero
PKP131	comunque	[SPEAKER_A]	comunque
-	-	[SPEAKER_A]	buon
PKP125	a	[SPEAKER_B]	a
PKP125	scuola	[SPEAKER_B]	scuola
PKP125	questi	[SPEAKER_B]	questi
PKP125	mi	[SPEAKER_B]	mi
PKP125	chiedevano	[SPEAKER_B]	chiedevano
PKP125	delle	[SPEAKER_B]	delle
PKP125	cose	[SPEAKER_B]	cose
PKP125	facevo	[SPEAKER_B]	perciò
PKP125	como	[SPEAKER_B]	come
PKP125	capito	[SPEAKER_A]	e
PKP131	ua	[SPEAKER_A]	che
PKP125	che	[SPEAKER_A]	sai
PKP125	xx	-	-
PKP131	perché	-	-
PKP131	stai	-	-
PKP131	qual	[SPEAKER_A]	qual
PKP131	è	[SPEAKER_A]	è
PKP131	il	[SPEAKER_A]	il
PKP131	range	[SPEAKER_A]	range
PKP131	di	[SPEAKER_A]	di
PKP131	età	[SPEAKER_A]	età
PKP131	a	[SPEAKER_A]	che
PKP131	cui	[SPEAKER_A]	ti
PKP131	stai	[SPEAKER_A]	sto
PKP131	insegnando	[SPEAKER_A]	insegnando
PKP125	xx	[SPEAKER_B]	ma
PKP125	non	[SPEAKER_B]	che
PKP125	lo	[SPEAKER_B]	ne
PKP125	sacc	[SPEAKER_B]	pensate
PKP125	io	[SPEAKER_B]	vi
PKP125	faccio	[SPEAKER_B]	faccio
PKP125	finta	[SPEAKER_B]	filmare
PKP125	di	-	-
PKP125	mh	-	-
PKP125	al	[SPEAKER_B]	al
PKP125	momento	[SPEAKER_B]	momento
PKP125	dai	[SPEAKER_B]	dai
PKP125	sto	-	-
PKP125	facendo	-	-
PKP125	dai	[SPEAKER_B]	dai
PKP125	a	[SPEAKER_B]	a
PKP125	quanto	[SPEAKER_B]	quanto
PKP125	pare	[SPEAKER_B]	pare
PKP125	domani	[SPEAKER_B]	domani
PKP125	dovrò	[SPEAKER_B]	dovrò
PKP125	fare	[SPEAKER_B]	fare
PKP125	anche	[SPEAKER_B]	anche
PKP125	i	[SPEAKER_B]	i
PKP125	bambini	[SPEAKER_B]	bambini
PKP125	piccoli	[SPEAKER_B]	piccoli
PKP131	piccoli	[SPEAKER_B]	piccoli
PKP131	quanto	[SPEAKER_B]	quanti
PKP125	eh	[SPEAKER_B]	eh
PKP125	pre-starters	[SPEAKER_B]	pre
-	-	[SPEAKER_B]	starters
PKP125	quindi	[SPEAKER_B]	quindi
PKP125	sei	[SPEAKER_B]	seisette
PKP125	sette	-	-
PKP125	anni	[SPEAKER_B]	anni
-	-	[SPEAKER_A]	ecco
-	-	[SPEAKER_A]	lì
-	-	[SPEAKER_A]	vanno
PKP125	comunque	[SPEAKER_B]	comunque
PKP125	dagli	[SPEAKER_B]	dagli
PKP125	otto	[SPEAKER_B]	otto
PKP125	ai	[SPEAKER_B]	ai
PKP125	mh	-	-
PKP125	diciotto	[SPEAKER_B]	diciotto
PKP125	che	[SPEAKER_B]	e
PKP125	poi	[SPEAKER_B]	poi
PKP125	questi	[SPEAKER_B]	questi
PKP125	bambini	-	-
PKP125	pi~	-	-
PKP125	bambini	[SPEAKER_B]	bambini
PKP125	piccoli	[SPEAKER_B]	piccoli
PKP125	cioè	[SPEAKER_B]	cioè
PKP125	mo	[SPEAKER_B]	mo
PKP125	quando	[SPEAKER_B]	quando
PKP125	li	-	-
PKP125	avevo	-	-
PKP125	quando	-	-
PKP125	avevo	[SPEAKER_B]	avevo
PKP125	iniziato	[SPEAKER_B]	iniziato
PKP125	prima	[SPEAKER_B]	prima
PKP125	che	[SPEAKER_B]	che
PKP125	me	[SPEAKER_B]	me
PKP125	ne	[SPEAKER_B]	ne
PKP125	andavo	[SPEAKER_B]	andavo
PKP125	a	[SPEAKER_B]	a
PKP125	bologna	[SPEAKER_B]	bologna
PKP131	mhmh	-	-
PKP125	comunque	[SPEAKER_B]	comunque
PKP125	tanti	[SPEAKER_B]	tanti
PKP125	sono	[SPEAKER_B]	sono
PKP125	rimasti	[SPEAKER_B]	rimasti
PKP125	perché	[SPEAKER_A]	sì
PKP125	poi	-	-
PKP125	e	[SPEAKER_B]	e
PKP125	sono	[SPEAKER_B]	sono
