token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps	event
0-0	BOR009	0	allora	allora	linguistic	none	_	Begin=0.69	_	_	_	_	_
0-1	BOR009	0	okay	okay	linguistic	none	_	_	_	_	_	_	_
0-2	BOR009	0	ci	ci	linguistic	none	_	_	_	_	_	_	_
0-3	BOR009	0	siamo:	siamo	linguistic	none	_	End=2.41	4x1	_	_	_	_
1-0	BOR009	1	allora	allora	linguistic	none	_	Begin=3.62	_	_	_	_	_
1-1	BOR009	1	iniziamo	iniziamo	linguistic	none	_	_	_	_	_	_	_
1-2	BOR009	1	con	con	linguistic	none	_	_	_	_	_	_	_
1-3	BOR009	1	qualcosa	qualcosa	linguistic	none	_	_	_	_	_	_	_
1-4	BOR009	1	prop~	prop~	linguistic	none	Interrupted=Yes	_	_	_	_	_	_
1-5	BOR009	1	di	di	linguistic	none	_	_	_	_	_	_	_
1-6	BOR009	1	generale	generale	linguistic	none	_	_	_	_	_	_	_
1-7	BOR009	1	sulla:	sulla	linguistic	none	_	_	4x1	_	_	_	_
1-8	BOR009	1	sulla	sulla	linguistic	none	_	_	_	_	_	_	_
1-9	BOR009	1	città	città	linguistic	none	_	End=7.25	_	_	_	_	_
2-0	BOR009	2	[tu]	tu	linguistic	none	_	Begin=7.947	_	_	_	0-2(0)	_
2-1	BOR009	2	sei	sei	linguistic	none	_	_	_	_	_	_	_
2-2	BOR009	2	di	di	linguistic	none	_	_	_	_	_	_	_
2-3	BOR009	2	bologna?	bologna	linguistic	none	Intonation=Rising	End=8.84	_	_	_	_	_
3-0	BOI057	3	[mh]	mh	linguistic	none	_	Begin=7.947|End=8.186	_	_	_	0-2(0)	BC
4-0	BOI057	4	sì	sì	linguistic	none	_	Begin=9.36	_	_	_	_	_
4-1	BOI057	4	[e:h]	eh	linguistic	none	_	End=10.253	0x1	_	_	0-2(1)	FP
5-0	BOR009	5	[bo~]	bo~	linguistic	none	Interrupted=Yes	Begin=9.933|End=10.22	_	_	_	0-3(1)	_
6-0	BOI057	6	io	io	linguistic	none	_	Begin=10.827	_	_	_	_	_
6-1	BOI057	6	sono	sono	linguistic	none	_	_	_	_	_	_	_
6-2	BOI057	6	nata	nata	linguistic	none	_	_	_	_	_	_	_
6-3	BOI057	6	a	a	linguistic	none	_	_	_	_	_	_	_
6-4	BOI057	6	bologna	bologna	linguistic	none	_	_	_	_	_	_	_
6-5	BOI057	6	e	e	linguistic	none	_	_	_	_	_	_	_
6-6	BOI057	6	ti	ti	linguistic	none	_	_	_	_	_	_	_
6-7	BOI057	6	dirò	dirò	linguistic	none	_	_	_	_	_	_	_
6-8	BOI057	6	di	di	linguistic	none	_	_	_	_	_	_	_
6-9	BOI057	6	più	più	linguistic	none	_	_	_	_	_	_	_
6-10	BOI057	6	sono	sono	linguistic	none	_	_	_	_	_	_	_
6-11	BOI057	6	talmente	talmente	linguistic	none	_	_	_	_	_	_	_
6-12	BOI057	6	radicata	radicata	linguistic	none	_	_	_	_	_	_	_
6-13	BOI057	6	in	in	linguistic	none	_	_	_	_	_	_	_
6-14	BOI057	6	questa	questa	linguistic	none	_	_	_	_	_	_	_
6-15	BOI057	6	città	città	linguistic	none	_	End=17.04	_	_	_	_	_
7-0	BOI057	7	che	che	linguistic	none	_	Begin=18.047	_	_	_	_	_
7-1	BOI057	7	eh	eh	linguistic	none	_	_	_	_	_	_	FP[19]
7-2	BOI057	7	m:h	mh	linguistic	none	_	End=19.29	0x1	_	_	_	FP[19]
8-0	BOI057	8	ho	ho	linguistic	none	_	Begin=19.68	_	_	_	_	_
8-1	BOI057	8	avuto	avuto	linguistic	none	_	_	_	_	_	_	_
8-2	BOI057	8	sì	sì	linguistic	none	_	_	_	_	_	_	_
8-3	BOI057	8	ci	ci	linguistic	none	_	_	_	_	_	_	_
8-4	BOI057	8	son	son	linguistic	none	_	_	_	_	_	_	_
8-5	BOI057	8	stati	stati	linguistic	none	_	_	_	_	_	_	_
8-6	BOI057	8	dei	dei	linguistic	none	_	_	_	_	_	_	_
8-7	BOI057	8	periodi	periodi	linguistic	none	_	_	_	_	_	_	_
8-8	BOI057	8	nella	nella	linguistic	none	_	_	_	_	_	_	_
8-9	BOI057	8	vita	vita	linguistic	none	_	_	_	_	_	_	_
8-10	BOI057	8	in	in	linguistic	none	_	_	_	_	_	_	_
8-11	BOI057	8	cui	cui	linguistic	none	_	_	_	_	_	_	_
8-12	BOI057	8	ho	ho	linguistic	none	_	_	_	_	_	_	_
8-13	BOI057	8	pensato	pensato	linguistic	none	_	_	_	_	_	_	_
8-14	BOI057	8	di	di	linguistic	none	_	_	_	_	_	_	_
8-15	BOI057	8	spostarmi	spostarmi	linguistic	none	_	_	_	_	_	_	_
8-16	BOI057	8	per	per	linguistic	none	_	_	_	_	_	_	_
8-17	BOI057	8	lavoro	lavoro	linguistic	none	_	End=24.131	_	_	_	_	_
9-0	BOI057	9	perché	perché	linguistic	none	_	Begin=24.94	_	_	_	_	_
9-1	BOI057	9	il	il	linguistic	none	_	_	_	_	_	_	_
9-2	BOI057	9	mio	mio	linguistic	none	_	_	_	_	_	_	_
9-3	BOI057	9	lavoro	lavoro	linguistic	none	_	_	_	_	_	_	_
9-4	BOI057	9	si	si	linguistic	none	_	_	_	_	_	_	_
9-5	BOI057	9	fa	fa	linguistic	none	_	_	_	_	_	_	_
9-6	BOI057	9	meglio	meglio	linguistic	none	_	_	_	_	_	_	_
9-7	BOI057	9	a	a	linguistic	none	_	_	_	_	_	_	_
9-8	BOI057	9	a	a	linguistic	none	_	_	_	_	_	_	_
9-9	BOI057	9	milano:	milano	linguistic	none	_	_	5x1	_	_	_	_
9-10	BOI057	9	o	o	linguistic	none	_	_	_	_	_	_	_
9-11	BOI057	9	a	a	linguistic	none	_	_	_	_	_	_	_
