gold_speaker	gold_word	whisper_speaker	whisper_word
BO087	insomma	[SPEAKER_B]	un
BO087	dispiacere	[SPEAKER_B]	spiacere
BO089	ah	-	-
BO089	avevano	[SPEAKER_B]	avevano
BO089	proprio	[SPEAKER_B]	proprio
BO089	loro	[SPEAKER_B]	loro
BO089	una	[SPEAKER_B]	una
BO089	loro	[SPEAKER_B]	loro
BO089	tipografia	[SPEAKER_B]	tipografia
BO087	sì	[SPEAKER_A]	sì
BO087	mh	-	-
BO087	l'avevano	[SPEAKER_A]	l'avevano
BO087	sotto	[SPEAKER_A]	sotto
BO087	casa	[SPEAKER_A]	casa
BO087	una	[SPEAKER_A]	una
BO087	tipografia	[SPEAKER_A]	tipografia
BO087	andavan	[SPEAKER_A]	andavano
BO087	insomma	[SPEAKER_A]	insomma
BO089	e	[SPEAKER_A]	e
BO089	a	[SPEAKER_A]	a
BO089	chi	[SPEAKER_A]	chi
BO089	l'hanno	[SPEAKER_A]	l'hanno
BO089	venduta	[SPEAKER_A]	venduta
BO087	no	[SPEAKER_A]	no
BO087	mh	[SPEAKER_A]	ci
BO087	c'hanno	[SPEAKER_A]	hanno
BO087	fatto	[SPEAKER_A]	fatto
BO087	un'altra	[SPEAKER_A]	un'altra
BO087	casa	[SPEAKER_A]	casa
BO087	adesso	[SPEAKER_A]	adesso
BO087	hanno	[SPEAKER_A]	hanno
BO087	chiuso	[SPEAKER_A]	chiuso
BO087	proprio	[SPEAKER_A]	proprio
BO089	e	[SPEAKER_B]	e'
-	-	[SPEAKER_B]	qui
-	-	[SPEAKER_B]	la
-	-	[SPEAKER_B]	noventuta
-	-	[SPEAKER_B]	hanno
-	-	[SPEAKER_B]	chiuso
-	-	[SPEAKER_B]	proprio
BO089	i	[SPEAKER_B]	i
BO089	materiali	[SPEAKER_B]	materiali
BO089	xx	-	-
BO089	no	-	-
BO089	ma	-	-
BO089	i	-	-
BO089	materiali	-	-
BO089	di	[SPEAKER_B]	di
BO089	tipografia	[SPEAKER_B]	tipografia
BO089	dove	[SPEAKER_B]	dove
BO089	sono	[SPEAKER_B]	sono
BO089	finiti	[SPEAKER_B]	finiti
BO087	non	-	-
BO087	non	[SPEAKER_B]	non
BO087	ne	[SPEAKER_B]	ne
BO087	ho	[SPEAKER_B]	ho
BO087	idea	[SPEAKER_B]	idea
BO089	adesso	[SPEAKER_B]	adesso
BO089	lei	[SPEAKER_B]	lei
BO089	si	[SPEAKER_B]	si
BO089	informa	[SPEAKER_B]	informa
BO089	e	-	-
BO089	mi	-	-
BO089	sscrive	-	-
BO089	una	-	-
BO089	mail	-	-
BO089	per	-	-
BO089	favore	-	-
BO087	mi	-	-
BO087	infor~	-	-
BO087	va	-	-
BO087	bene	-	-
BO089	si	[SPEAKER_B]	si
BO089	informa	[SPEAKER_B]	informa
BO089	dalla	[SPEAKER_B]	dalla
BO089	zia	[SPEAKER_B]	zia
BO087	va	-	-
BO087	bene	-	-
BO087	va	-	-
BO087	bene	-	-
BO089	e	[SPEAKER_B]	e
BO089	dice	[SPEAKER_B]	dice
BO089	che	[SPEAKER_B]	che
BO089	il	[SPEAKER_B]	il
BO089	bianchi	[SPEAKER_B]	tinte
BO089	che	[SPEAKER_B]	che
BO089	è	[SPEAKER_B]	è
BO089	un'appassionato	[SPEAKER_B]	un
BO089	di	[SPEAKER_B]	appassionato
-	-	[SPEAKER_B]	della
BO089	tipografia	[SPEAKER_B]	tipografia
BO087	che	-	-
BO087	comunque	-	-
BO087	è	-	-
BO089	eh	-	-
BO089	mh	-	-
BO089	vuol	[SPEAKER_B]	vuol
BO089	sapere	[SPEAKER_B]	sapere
BO089	dove	[SPEAKER_B]	dove
BO089	son	[SPEAKER_B]	sono
BO089	finite	[SPEAKER_B]	finite
BO089	le	[SPEAKER_B]	le
BO089	sue	[SPEAKER_B]	sue
BO089	i	-	-
BO089	suoi	-	-
